Row Type,Action,Customer ID,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre villa marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre riad marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre maison marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre bien immobilier marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre propriété marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,comment vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,agence pour vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre mon appartement à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,vendre ma villa à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,A - Vendre,,je veux vendre mon bien à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B1 - Gestion locative,,gestion locative marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B1 - Gestion locative,,agence gestion locative marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B1 - Gestion locative,,mettre en location appartement marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B1 - Gestion locative,,mise en location villa marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B1 - Gestion locative,,gestion location longue durée marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B1 - Gestion locative,,gérer mon appartement marrakech,Exact match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,,gestion airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,,conciergerie marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,,conciergerie airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,,gestion location courte durée marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,,gestion location saisonnière marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,B2 - Gestion Airbnb,,gérer mon airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,estimation appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,estimation immobilière marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,estimer mon bien marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,prix immobilier marrakech 2026,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,prix m2 marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,valeur appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,C - Estimation,,estimer mon appartement marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,D - Agence,,agence immobilière marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,D - Agence,,agence immobilière française marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,D - Agence,,agence immobilière francophone marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-France,,D - Agence,,meilleure agence immobilière marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre villa marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre riad marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre maison marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre bien immobilier marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre propriété marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,comment vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,agence pour vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre mon appartement à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,vendre ma villa à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,A - Vendre,,je veux vendre mon bien à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,,gestion locative marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,,agence gestion locative marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,,mettre en location appartement marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,,mise en location villa marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,,gestion location longue durée marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B1 - Gestion locative,,gérer mon appartement marrakech,Exact match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,,gestion airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,,conciergerie marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,,conciergerie airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,,gestion location courte durée marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,,gestion location saisonnière marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,B2 - Gestion Airbnb,,gérer mon airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,estimation appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,estimation immobilière marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,estimer mon bien marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,prix immobilier marrakech 2026,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,prix m2 marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,valeur appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,C - Estimation,,estimer mon appartement marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,D - Agence,,agence immobilière marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,D - Agence,,agence immobilière française marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,D - Agence,,agence immobilière francophone marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - FR-Diaspora,,D - Agence,,meilleure agence immobilière marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre villa marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre riad marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre maison marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre bien immobilier marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre propriété marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,comment vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,agence pour vendre appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre mon appartement à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,vendre ma villa à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,A - Vendre,,je veux vendre mon bien à marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B1 - Gestion locative,,gestion locative marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B1 - Gestion locative,,agence gestion locative marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B1 - Gestion locative,,mettre en location appartement marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B1 - Gestion locative,,mise en location villa marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B1 - Gestion locative,,gestion location longue durée marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B1 - Gestion locative,,gérer mon appartement marrakech,Exact match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,,gestion airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,,conciergerie marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,,conciergerie airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,,gestion location courte durée marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,,gestion location saisonnière marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,B2 - Gestion Airbnb,,gérer mon airbnb marrakech,Phrase match,,2.00,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,estimation appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,estimation immobilière marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,estimer mon bien marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,prix immobilier marrakech 2026,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,prix m2 marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,valeur appartement marrakech,Phrase match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,C - Estimation,,estimer mon appartement marrakech,Exact match,,2.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,D - Agence,,agence immobilière marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,D - Agence,,agence immobilière française marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,D - Agence,,agence immobilière francophone marrakech,Phrase match,,1.50,,,,,,
Keyword,Add,407-193-7268,Enabled,,Atlas Rouge - Maroc,,D - Agence,,meilleure agence immobilière marrakech,Phrase match,,1.50,,,,,,
